O*NET-SOC Code,Title,Artistic,Conventional,Enterprising,First Interest High-Point,Investigative,Realistic,Second Interest High-Point,Social,Third Interest High-Point,Occupation,Job Family
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,1.76,5.0,1.32,1.0,5.2,6.24,2.0,1.79,6.0,Electrical and Electronic Engineering Technologists and Technicians,Architecture and Engineering
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,1.38,4.58,1.0,1.0,4.38,7.0,6.0,1.0,2.0,Electro-Mechanical and Mechatronics Technologists and Technicians,Architecture and Engineering
17-3024.01,Robotics Technicians,1.0,4.49,1.04,1.0,4.08,6.98,6.0,1.09,2.0,Robotics Technicians,Architecture and Engineering
17-3025.00,Environmental Engineering Technologists and Technicians,1.73,5.08,1.25,1.0,5.91,6.21,2.0,1.5,6.0,Environmental Engineering Technologists and Technicians,Architecture and Engineering
17-3026.00,Industrial Engineering Technologists and Technicians,1.19,5.22,2.39,1.0,5.14,5.38,6.0,1.45,2.0,Industrial Engineering Technologists and Technicians,Architecture and Engineering
17-3026.01,Nanotechnology Engineering Technologists and Technicians,1.45,4.71,1.98,1.0,5.05,6.23,2.0,1.05,6.0,Nanotechnology Engineering Technologists and Technicians,Architecture and Engineering
17-3027.00,Mechanical Engineering Technologists and Technicians,1.98,4.82,1.04,1.0,5.57,6.38,2.0,1.15,6.0,Mechanical Engineering Technologists and Technicians,Architecture and Engineering
17-3027.01,Automotive Engineering Technicians,1.39,4.63,1.32,1.0,5.33,7.0,2.0,1.0,6.0,Automotive Engineering Technicians,Architecture and Engineering
17-3028.00,Calibration Technologists and Technicians,1.15,5.54,1.0,1.0,4.14,6.31,6.0,1.58,2.0,Calibration Technologists and Technicians,Architecture and Engineering
17-3029.01,Non-Destructive Testing Specialists,1.25,4.83,1.0,1.0,5.05,6.16,2.0,1.47,6.0,Non-Destructive Testing Specialists,Architecture and Engineering
17-3029.08,Photonics Technicians,1.06,5.12,1.0,1.0,4.26,7.0,6.0,1.0,2.0,Photonics Technicians,Architecture and Engineering
17-3031.00,Surveying and Mapping Technicians,1.91,5.62,1.0,1.0,4.03,5.95,6.0,1.0,2.0,Surveying and Mapping Technicians,Architecture and Engineering
19-1011.00,Animal Scientists,2.05,3.34,2.22,2.0,6.95,5.25,1.0,2.06,0.0,Animal Scientists,"Life, Physical, and Social Science"
19-1012.00,Food Scientists and Technologists,2.46,3.96,2.54,2.0,5.69,5.09,1.0,2.14,6.0,Food Scientists and Technologists,"Life, Physical, and Social Science"
19-1013.00,Soil and Plant Scientists,2.11,3.41,1.72,2.0,6.72,6.43,1.0,1.68,0.0,Soil and Plant Scientists,"Life, Physical, and Social Science"
19-1021.00,Biochemists and Biophysicists,2.61,3.61,1.82,2.0,7.0,5.1,1.0,2.16,0.0,Biochemists and Biophysicists,"Life, Physical, and Social Science"
19-1022.00,Microbiologists,1.84,3.9,1.19,2.0,7.0,5.34,1.0,2.12,6.0,Microbiologists,"Life, Physical, and Social Science"
19-1023.00,Zoologists and Wildlife Biologists,2.24,3.69,2.48,2.0,7.0,5.32,1.0,2.57,0.0,Zoologists and Wildlife Biologists,"Life, Physical, and Social Science"
19-1029.01,Bioinformatics Scientists,2.56,5.03,1.27,2.0,7.0,3.74,6.0,1.63,1.0,Bioinformatics Scientists,"Life, Physical, and Social Science"
19-1029.02,Molecular and Cellular Biologists,2.1,4.97,2.34,2.0,6.67,5.0,1.0,2.25,6.0,Molecular and Cellular Biologists,"Life, Physical, and Social Science"
19-1029.03,Geneticists,3.04,4.41,1.69,2.0,7.0,3.95,6.0,2.96,1.0,Geneticists,"Life, Physical, and Social Science"
19-1029.04,Biologists,2.32,4.5,2.93,2.0,6.97,4.15,6.0,2.56,1.0,Biologists,"Life, Physical, and Social Science"
19-1031.00,Conservation Scientists,1.97,4.0,3.18,2.0,5.7,5.16,1.0,2.88,6.0,Conservation Scientists,"Life, Physical, and Social Science"
19-1031.02,Range Managers,1.45,3.83,4.43,1.0,4.9,5.7,2.0,2.51,5.0,Range Managers,"Life, Physical, and Social Science"
19-1031.03,Park Naturalists,4.1,3.06,3.38,4.0,4.51,4.23,2.0,4.85,1.0,Park Naturalists,"Life, Physical, and Social Science"
19-1032.00,Foresters,1.24,4.31,3.78,1.0,4.4,5.32,2.0,2.41,6.0,Foresters,"Life, Physical, and Social Science"
19-1041.00,Epidemiologists,2.02,3.67,2.48,2.0,7.0,3.18,4.0,4.03,0.0,Epidemiologists,"Life, Physical, and Social Science"
19-1042.00,"Medical Scientists, Except Epidemiologists",2.3,3.95,2.23,2.0,7.0,4.43,1.0,3.24,6.0,"Medical Scientists, Except Epidemiologists","Life, Physical, and Social Science"
19-2011.00,Astronomers,3.24,3.97,1.99,2.0,7.0,4.85,1.0,2.81,0.0,Astronomers,"Life, Physical, and Social Science"
19-2012.00,Physicists,2.76,4.86,1.82,2.0,7.0,4.95,1.0,2.11,6.0,Physicists,"Life, Physical, and Social Science"
19-2021.00,Atmospheric and Space Scientists,2.72,4.48,2.69,2.0,6.35,4.82,1.0,2.45,6.0,Atmospheric and Space Scientists,"Life, Physical, and Social Science"
19-2031.00,Chemists,1.5,4.95,1.6,2.0,6.66,5.66,1.0,1.15,6.0,Chemists,"Life, Physical, and Social Science"
19-2032.00,Materials Scientists,2.18,4.16,1.9,2.0,6.61,5.77,1.0,1.35,6.0,Materials Scientists,"Life, Physical, and Social Science"
19-2041.00,"Environmental Scientists and Specialists, Including Health",1.79,4.44,2.58,2.0,7.0,4.7,1.0,2.62,6.0,"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science"
19-2041.01,Climate Change Policy Analysts,3.11,4.06,4.69,2.0,6.73,1.37,5.0,3.17,6.0,Climate Change Policy Analysts,"Life, Physical, and Social Science"
19-2041.02,Environmental Restoration Planners,2.24,4.13,3.63,2.0,6.25,5.31,1.0,2.12,6.0,Environmental Restoration Planners,"Life, Physical, and Social Science"
19-2041.03,Industrial Ecologists,2.14,3.98,3.04,2.0,7.0,4.62,1.0,1.95,6.0,Industrial Ecologists,"Life, Physical, and Social Science"
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",2.7,4.16,1.67,2.0,7.0,5.66,1.0,2.23,6.0,"Geoscientists, Except Hydrologists and Geographers","Life, Physical, and Social Science"
19-2043.00,Hydrologists,1.86,4.35,2.17,2.0,6.53,5.71,1.0,2.16,6.0,Hydrologists,"Life, Physical, and Social Science"
19-2099.01,Remote Sensing Scientists and Technologists,1.87,4.84,1.49,2.0,6.04,4.84,1.0,1.31,6.0,Remote Sensing Scientists and Technologists,"Life, Physical, and Social Science"
19-3011.00,Economists,2.49,4.34,3.8,2.0,7.0,1.54,6.0,2.22,5.0,Economists,"Life, Physical, and Social Science"
19-3011.01,Environmental Economists,2.53,4.08,4.11,2.0,7.0,2.74,5.0,2.28,6.0,Environmental Economists,"Life, Physical, and Social Science"
19-3022.00,Survey Researchers,2.11,5.46,3.05,2.0,6.1,1.7,6.0,2.31,0.0,Survey Researchers,"Life, Physical, and Social Science"
19-3032.00,Industrial-Organizational Psychologists,3.26,4.04,4.65,2.0,5.32,1.11,5.0,4.18,4.0,Industrial-Organizational Psychologists,"Life, Physical, and Social Science"
19-3033.00,Clinical and Counseling Psychologists,3.02,3.55,2.67,4.0,5.5,1.07,2.0,6.57,0.0,Clinical and Counseling Psychologists,"Life, Physical, and Social Science"
19-3034.00,School Psychologists,3.31,4.01,2.82,4.0,5.0,1.0,2.0,6.77,6.0,School Psychologists,"Life, Physical, and Social Science"
19-3039.02,Neuropsychologists,3.26,3.24,1.8,2.0,7.0,2.67,4.0,5.28,0.0,Neuropsychologists,"Life, Physical, and Social Science"
19-3039.03,Clinical Neuropsychologists,2.4,3.45,2.11,2.0,7.0,2.86,4.0,5.72,0.0,Clinical Neuropsychologists,"Life, Physical, and Social Science"
19-3041.00,Sociologists,3.96,3.57,3.08,2.0,6.43,1.61,4.0,4.42,3.0,Sociologists,"Life, Physical, and Social Science"
19-3051.00,Urban and Regional Planners,2.96,3.95,4.53,2.0,5.38,3.16,5.0,3.0,6.0,Urban and Regional Planners,"Life, Physical, and Social Science"
19-3091.00,Anthropologists and Archeologists,3.89,3.54,1.56,2.0,6.74,4.55,1.0,3.32,0.0,Anthropologists and Archeologists,"Life, Physical, and Social Science"
19-3092.00,Geographers,3.7,3.71,2.15,2.0,6.73,5.19,1.0,2.69,0.0,Geographers,"Life, Physical, and Social Science"
19-3093.00,Historians,3.61,4.97,2.4,2.0,5.19,2.42,6.0,3.21,0.0,Historians,"Life, Physical, and Social Science"
19-3094.00,Political Scientists,3.78,3.6,3.7,2.0,6.62,1.0,3.0,3.47,0.0,Political Scientists,"Life, Physical, and Social Science"
19-3099.01,Transportation Planners,2.18,4.69,3.21,2.0,5.5,3.2,6.0,2.05,0.0,Transportation Planners,"Life, Physical, and Social Science"
19-4012.00,Agricultural Technicians,1.0,4.64,1.8,1.0,4.96,6.28,2.0,1.56,6.0,Agricultural Technicians,"Life, Physical, and Social Science"
19-4012.01,Precision Agriculture Technicians,1.17,4.82,2.15,1.0,5.5,6.55,2.0,1.44,6.0,Precision Agriculture Technicians,"Life, Physical, and Social Science"
19-4013.00,Food Science Technicians,1.37,5.07,1.8,1.0,4.55,5.56,6.0,1.67,2.0,Food Science Technicians,"Life, Physical, and Social Science"
19-4021.00,Biological Technicians,1.24,5.37,1.18,1.0,5.57,5.6,2.0,1.98,6.0,Biological Technicians,"Life, Physical, and Social Science"
19-4031.00,Chemical Technicians,1.57,5.07,1.02,2.0,5.88,5.44,1.0,1.72,6.0,Chemical Technicians,"Life, Physical, and Social Science"
19-4042.00,"Environmental Science and Protection Technicians, Including Health",1.13,4.91,1.47,2.0,5.57,5.53,1.0,2.07,6.0,"Environmental Science and Protection Technicians, Including Health","Life, Physical, and Social Science"
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",1.28,5.34,1.11,1.0,5.18,5.59,6.0,1.47,2.0,"Geological Technicians, Except Hydrologic Technicians","Life, Physical, and Social Science"
19-4044.00,Hydrologic Technicians,1.0,5.33,1.41,1.0,4.96,5.55,6.0,1.53,2.0,Hydrologic Technicians,"Life, Physical, and Social Science"
19-4051.00,Nuclear Technicians,1.0,5.07,2.26,1.0,4.57,5.75,6.0,1.83,2.0,Nuclear Technicians,"Life, Physical, and Social Science"
19-4051.02,Nuclear Monitoring Technicians,1.0,5.52,1.67,1.0,4.32,6.12,6.0,1.85,2.0,Nuclear Monitoring Technicians,"Life, Physical, and Social Science"
19-4061.00,Social Science Research Assistants,2.05,5.78,2.35,2.0,6.0,2.48,6.0,2.76,0.0,Social Science Research Assistants,"Life, Physical, and Social Science"
19-4071.00,Forest and Conservation Technicians,1.0,4.7,2.46,1.0,4.39,6.53,6.0,2.82,2.0,Forest and Conservation Technicians,"Life, Physical, and Social Science"
19-4092.00,Forensic Science Technicians,1.8,5.04,1.71,2.0,6.11,5.03,6.0,1.69,1.0,Forensic Science Technicians,"Life, Physical, and Social Science"
19-4099.01,Quality Control Analysts,1.12,5.83,2.42,6.0,4.96,4.06,2.0,1.19,1.0,Quality Control Analysts,"Life, Physical, and Social Science"
19-4099.03,Remote Sensing Technicians,2.03,5.16,1.67,1.0,4.67,5.16,6.0,1.47,2.0,Remote Sensing Technicians,"Life, Physical, and Social Science"
19-5011.00,Occupational Health and Safety Specialists,1.2,4.81,3.11,2.0,4.99,4.62,6.0,3.37,1.0,Occupational Health and Safety Specialists,"Life, Physical, and Social Science"
19-5012.00,Occupational Health and Safety Technicians,1.0,5.29,2.74,1.0,4.92,5.37,6.0,3.01,2.0,Occupational Health and Safety Technicians,"Life, Physical, and Social Science"
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.37,3.65,2.73,4.0,3.8,1.62,2.0,6.65,6.0,Substance Abuse and Behavioral Disorder Counselors,Community and Social Service
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",3.42,3.38,4.21,4.0,3.31,1.0,5.0,7.0,0.0,"Educational, Guidance, and Career Counselors and Advisors",Community and Social Service
21-1013.00,Marriage and Family Therapists,3.58,2.83,1.86,4.0,5.25,1.49,2.0,6.32,0.0,Marriage and Family Therapists,Community and Social Service
21-1014.00,Mental Health Counselors,3.06,3.45,2.91,4.0,4.44,1.32,2.0,6.76,0.0,Mental Health Counselors,Community and Social Service
21-1015.00,Rehabilitation Counselors,2.99,3.26,3.56,4.0,3.26,1.23,0.0,6.81,0.0,Rehabilitation Counselors,Community and Social Service
21-1021.00,"Child, Family, and School Social Workers",2.9,3.57,2.93,4.0,3.32,1.7,0.0,6.85,0.0,"Child, Family, and School Social Workers",Community and Social Service
21-1022.00,Healthcare Social Workers,2.33,3.06,2.53,4.0,4.24,1.97,2.0,6.92,0.0,Healthcare Social Workers,Community and Social Service
21-1023.00,Mental Health and Substance Abuse Social Workers,2.78,3.05,2.42,4.0,4.08,1.72,2.0,6.96,0.0,Mental Health and Substance Abuse Social Workers,Community and Social Service
21-1091.00,Health Education Specialists,2.53,3.98,3.2,4.0,5.3,1.64,2.0,6.16,6.0,Health Education Specialists,Community and Social Service
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.2,4.11,3.9,4.0,3.47,2.24,6.0,5.63,5.0,Probation Officers and Correctional Treatment Specialists,Community and Social Service
21-1093.00,Social and Human Service Assistants,1.97,4.55,3.59,4.0,2.8,1.26,6.0,6.1,5.0,Social and Human Service Assistants,Community and Social Service
21-1094.00,Community Health Workers,2.24,3.36,3.5,4.0,3.49,1.94,0.0,6.58,0.0,Community Health Workers,Community and Social Service
21-2011.00,Clergy,3.48,2.83,4.18,4.0,2.14,2.11,5.0,5.88,0.0,Clergy,Community and Social Service
21-2021.00,"Directors, Religious Activities and Education",3.43,3.22,6.05,4.0,2.84,1.0,5.0,6.98,0.0,"Directors, Religious Activities and Education",Community and Social Service
23-1011.00,Lawyers,2.32,4.54,5.54,5.0,4.52,1.17,6.0,3.45,2.0,Lawyers,Legal
23-1012.00,Judicial Law Clerks,2.27,5.03,4.39,6.0,4.3,1.63,5.0,3.15,2.0,Judicial Law Clerks,Legal
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.57,5.39,5.24,6.0,4.01,1.04,5.0,3.04,2.0,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal
23-1022.00,"Arbitrators, Mediators, and Conciliators",2.31,4.32,4.97,5.0,3.87,1.0,6.0,4.24,4.0,"Arbitrators, Mediators, and Conciliators",Legal
23-1023.00,"Judges, Magistrate Judges, and Magistrates",2.21,4.11,5.25,5.0,3.75,2.37,6.0,4.0,4.0,"Judges, Magistrate Judges, and Magistrates",Legal
23-2011.00,Paralegals and Legal Assistants,2.04,5.49,4.21,6.0,4.56,1.71,2.0,3.28,5.0,Paralegals and Legal Assistants,Legal
23-2093.00,"Title Examiners, Abstractors, and Searchers",1.16,6.69,3.38,6.0,2.67,2.41,5.0,2.32,0.0,"Title Examiners, Abstractors, and Searchers",Legal
25-1011.00,"Business Teachers, Postsecondary",3.2,3.77,3.81,4.0,4.84,1.99,2.0,6.43,0.0,"Business Teachers, Postsecondary",Educational Instruction and Library
25-1021.00,"Computer Science Teachers, Postsecondary",3.21,4.12,2.25,4.0,5.66,3.15,2.0,5.8,6.0,"Computer Science Teachers, Postsecondary",Educational Instruction and Library
25-1022.00,"Mathematical Science Teachers, Postsecondary",3.07,4.44,1.96,4.0,5.8,2.84,2.0,6.17,6.0,"Mathematical Science Teachers, Postsecondary",Educational Instruction and Library
25-1031.00,"Architecture Teachers, Postsecondary",4.43,3.33,2.51,4.0,5.13,3.38,2.0,6.71,3.0,"Architecture Teachers, Postsecondary",Educational Instruction and Library
25-1032.00,"Engineering Teachers, Postsecondary",3.16,3.44,2.0,4.0,5.39,4.84,2.0,5.76,1.0,"Engineering Teachers, Postsecondary",Educational Instruction and Library
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",2.87,3.41,2.63,4.0,5.37,4.07,2.0,6.2,0.0,"Agricultural Sciences Teachers, Postsecondary",Educational Instruction and Library
25-1042.00,"Biological Science Teachers, Postsecondary",3.31,3.61,2.03,4.0,5.91,3.99,2.0,6.22,0.0,"Biological Science Teachers, Postsecondary",Educational Instruction and Library
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",3.04,3.51,2.37,4.0,5.79,4.02,2.0,6.54,0.0,"Forestry and Conservation Science Teachers, Postsecondary",Educational Instruction and Library
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.13,3.84,2.32,4.0,5.55,3.94,2.0,6.59,0.0,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Educational Instruction and Library
25-1052.00,"Chemistry Teachers, Postsecondary",2.96,3.77,2.08,2.0,5.82,4.05,4.0,5.72,0.0,"Chemistry Teachers, Postsecondary",Educational Instruction and Library
25-1053.00,"Environmental Science Teachers, Postsecondary",3.4,3.58,2.36,4.0,6.25,3.76,2.0,6.28,0.0,"Environmental Science Teachers, Postsecondary",Educational Instruction and Library
25-1054.00,"Physics Teachers, Postsecondary",3.21,3.92,2.36,4.0,5.87,3.75,2.0,6.01,0.0,"Physics Teachers, Postsecondary",Educational Instruction and Library
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",3.52,3.47,2.39,4.0,6.02,3.61,2.0,6.55,0.0,"Anthropology and Archeology Teachers, Postsecondary",Educational Instruction and Library
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.84,2.98,2.99,4.0,5.26,2.98,2.0,7.0,0.0,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Educational Instruction and Library
25-1063.00,"Economics Teachers, Postsecondary",3.06,3.88,3.39,4.0,5.53,2.71,2.0,6.22,0.0,"Economics Teachers, Postsecondary",Educational Instruction and Library
25-1064.00,"Geography Teachers, Postsecondary",3.66,3.69,2.53,4.0,5.76,3.43,2.0,6.66,0.0,"Geography Teachers, Postsecondary",Educational Instruction and Library
25-1065.00,"Political Science Teachers, Postsecondary",3.61,3.16,3.21,4.0,5.46,2.11,2.0,6.75,0.0,"Political Science Teachers, Postsecondary",Educational Instruction and Library
25-1066.00,"Psychology Teachers, Postsecondary",3.85,3.26,2.37,4.0,5.56,2.13,2.0,7.0,0.0,"Psychology Teachers, Postsecondary",Educational Instruction and Library
25-1067.00,"Sociology Teachers, Postsecondary",3.57,3.41,2.56,4.0,5.57,2.53,2.0,6.66,0.0,"Sociology Teachers, Postsecondary",Educational Instruction and Library
25-1071.00,"Health Specialties Teachers, Postsecondary",2.93,3.71,1.87,4.0,5.49,3.48,2.0,6.97,0.0,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",3.29,3.35,2.15,4.0,4.84,3.01,2.0,7.0,0.0,"Nursing Instructors and Teachers, Postsecondary",Educational Instruction and Library
25-1081.00,"Education Teachers, Postsecondary",3.52,3.54,2.63,4.0,4.91,2.69,2.0,7.0,0.0,"Education Teachers, Postsecondary",Educational Instruction and Library
25-1082.00,"Library Science Teachers, Postsecondary",3.41,3.94,2.29,4.0,5.47,2.76,2.0,6.35,0.0,"Library Science Teachers, Postsecondary",Educational Instruction and Library
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.24,3.66,3.44,4.0,4.89,2.6,2.0,6.83,0.0,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Educational Instruction and Library
25-1112.00,"Law Teachers, Postsecondary",3.43,3.76,3.52,4.0,5.31,2.32,2.0,6.49,0.0,"Law Teachers, Postsecondary",Educational Instruction and Library
25-1113.00,"Social Work Teachers, Postsecondary",3.65,3.42,2.88,4.0,4.94,2.32,2.0,7.0,0.0,"Social Work Teachers, Postsecondary",Educational Instruction and Library
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5.86,2.43,2.12,4.0,4.1,3.2,3.0,6.93,0.0,"Art, Drama, and Music Teachers, Postsecondary",Educational Instruction and Library
25-1122.00,"Communications Teachers, Postsecondary",3.9,3.36,3.19,4.0,4.59,2.03,2.0,7.0,0.0,"Communications Teachers, Postsecondary",Educational Instruction and Library
25-1123.00,"English Language and Literature Teachers, Postsecondary",4.19,3.55,2.41,4.0,4.76,2.35,2.0,7.0,3.0,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",3.99,3.7,2.57,4.0,4.42,2.12,2.0,7.0,0.0,"Foreign Language and Literature Teachers, Postsecondary",Educational Instruction and Library
25-1125.00,"History Teachers, Postsecondary",3.89,3.57,2.5,4.0,5.41,2.87,2.0,6.89,0.0,"History Teachers, Postsecondary",Educational Instruction and Library
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",3.77,3.29,2.82,4.0,5.14,2.44,2.0,7.0,0.0,"Philosophy and Religion Teachers, Postsecondary",Educational Instruction and Library
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",3.44,3.53,2.71,4.0,4.91,3.02,2.0,7.0,0.0,"Family and Consumer Sciences Teachers, Postsecondary",Educational Instruction and Library
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",3.43,3.43,2.51,4.0,4.78,3.17,2.0,7.0,0.0,"Recreation and Fitness Studies Teachers, Postsecondary",Educational Instruction and Library
25-1194.00,"Career/Technical Education Teachers, Postsecondary",3.14,3.29,2.1,4.0,4.15,3.75,2.0,6.61,0.0,"Career/Technical Education Teachers, Postsecondary",Educational Instruction and Library
25-2011.00,"Preschool Teachers, Except Special Education",4.06,3.59,2.63,4.0,2.77,2.71,3.0,7.0,0.0,"Preschool Teachers, Except Special Education",Educational Instruction and Library
25-2012.00,"Kindergarten Teachers, Except Special Education",4.0,3.73,2.46,4.0,3.15,2.59,3.0,7.0,0.0,"Kindergarten Teachers, Except Special Education",Educational Instruction and Library
25-2021.00,"Elementary School Teachers, Except Special Education",3.99,3.53,2.57,4.0,3.38,2.55,3.0,7.0,0.0,"Elementary School Teachers, Except Special Education",Educational Instruction and Library
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",3.98,3.6,2.55,4.0,3.31,2.64,3.0,7.0,0.0,"Middle School Teachers, Except Special and Career/Technical Education",Educational Instruction and Library
25-2023.00,"Career/Technical Education Teachers, Middle School",3.64,3.57,2.2,4.0,3.41,2.77,0.0,7.0,0.0,"Career/Technical Education Teachers, Middle School",Educational Instruction and Library
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",3.71,3.63,2.75,4.0,3.23,2.85,0.0,7.0,0.0,"Secondary School Teachers, Except Special and Career/Technical Education",Educational Instruction and Library
25-2032.00,"Career/Technical Education Teachers, Secondary School",3.62,3.48,2.71,4.0,3.34,2.83,0.0,7.0,0.0,"Career/Technical Education Teachers, Secondary School",Educational Instruction and Library
25-2051.00,"Special Education Teachers, Preschool",3.85,3.28,1.72,4.0,3.66,2.42,3.0,7.0,0.0,"Special Education Teachers, Preschool",Educational Instruction and Library
25-2055.00,"Special Education Teachers, Kindergarten",3.64,3.69,1.75,4.0,3.8,2.55,0.0,7.0,0.0,"Special Education Teachers, Kindergarten",Educational Instruction and Library
25-2056.00,"Special Education Teachers, Elementary School",3.62,3.46,1.79,4.0,3.95,2.34,2.0,7.0,0.0,"Special Education Teachers, Elementary School",Educational Instruction and Library
25-2057.00,"Special Education Teachers, Middle School",3.88,3.37,1.8,4.0,3.89,2.43,2.0,7.0,3.0,"Special Education Teachers, Middle School",Educational Instruction and Library
25-2058.00,"Special Education Teachers, Secondary School",3.75,3.24,1.95,4.0,3.86,2.61,2.0,7.0,0.0,"Special Education Teachers, Secondary School",Educational Instruction and Library
25-2059.01,Adapted Physical Education Specialists,2.63,3.59,1.79,4.0,3.62,4.36,1.0,7.0,0.0,Adapted Physical Education Specialists,Educational Instruction and Library
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.73,3.47,2.93,4.0,3.12,2.44,0.0,7.0,0.0,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Educational Instruction and Library
25-3021.00,Self-Enrichment Teachers,4.14,2.99,3.18,4.0,2.95,2.61,3.0,7.0,0.0,Self-Enrichment Teachers,Educational Instruction and Library
25-3031.00,"Substitute Teachers, Short-Term",3.04,3.72,2.45,4.0,2.61,2.61,6.0,6.77,0.0,"Substitute Teachers, Short-Term",Educational Instruction and Library
25-3041.00,Tutors,3.24,3.31,1.64,4.0,3.27,2.26,0.0,6.5,0.0,Tutors,Educational Instruction and Library
25-4011.00,Archivists,2.95,6.02,1.92,6.0,4.58,2.78,2.0,3.1,0.0,Archivists,Educational Instruction and Library
25-4012.00,Curators,3.43,4.8,3.85,6.0,3.43,2.68,5.0,3.68,0.0,Curators,Educational Instruction and Library
25-4013.00,Museum Technicians and Conservators,3.14,4.58,1.51,1.0,3.21,5.67,6.0,2.64,0.0,Museum Technicians and Conservators,Educational Instruction and Library
25-4022.00,Librarians and Media Collections Specialists,2.65,5.83,2.76,6.0,3.62,2.33,4.0,4.04,2.0,Librarians and Media Collections Specialists,Educational Instruction and Library
25-4031.00,Library Technicians,1.6,6.51,1.87,6.0,2.69,3.07,4.0,4.07,0.0,Library Technicians,Educational Instruction and Library
25-9021.00,Farm and Home Management Educators,2.31,3.18,3.49,4.0,4.28,3.96,2.0,4.83,1.0,Farm and Home Management Educators,Educational Instruction and Library
25-9031.00,Instructional Coordinators,3.48,4.03,4.25,4.0,3.98,1.69,5.0,6.16,6.0,Instructional Coordinators,Educational Instruction and Library
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2.29,4.7,2.6,4.0,2.39,2.76,6.0,6.41,0.0,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Educational Instruction and Library
25-9043.00,"Teaching Assistants, Special Education",2.67,4.16,2.4,4.0,2.96,2.52,6.0,6.93,0.0,"Teaching Assistants, Special Education",Educational Instruction and Library
25-9044.00,"Teaching Assistants, Postsecondary",2.17,4.65,2.79,4.0,3.24,2.06,6.0,6.76,0.0,"Teaching Assistants, Postsecondary",Educational Instruction and Library
27-1011.00,Art Directors,7.0,3.82,5.31,3.0,2.7,3.02,5.0,2.8,0.0,Art Directors,"Arts, Design, Entertainment, Sports, and Media"
27-1012.00,Craft Artists,6.0,2.55,2.9,3.0,1.88,5.86,1.0,1.72,0.0,Craft Artists,"Arts, Design, Entertainment, Sports, and Media"
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",7.0,2.34,2.37,3.0,2.68,4.06,1.0,2.27,0.0,"Fine Artists, Including Painters, Sculptors, and Illustrators","Arts, Design, Entertainment, Sports, and Media"
27-1014.00,Special Effects Artists and Animators,7.0,3.22,2.71,3.0,2.8,3.72,1.0,2.11,0.0,Special Effects Artists and Animators,"Arts, Design, Entertainment, Sports, and Media"
27-1021.00,Commercial and Industrial Designers,5.55,3.48,3.69,3.0,4.05,4.64,1.0,1.84,2.0,Commercial and Industrial Designers,"Arts, Design, Entertainment, Sports, and Media"
27-1022.00,Fashion Designers,7.0,2.91,3.97,3.0,2.17,4.32,1.0,2.33,5.0,Fashion Designers,"Arts, Design, Entertainment, Sports, and Media"
27-1023.00,Floral Designers,4.4,3.93,3.79,1.0,1.72,5.13,3.0,2.46,6.0,Floral Designers,"Arts, Design, Entertainment, Sports, and Media"
27-1024.00,Graphic Designers,7.0,3.78,3.61,3.0,2.83,3.2,0.0,2.31,0.0,Graphic Designers,"Arts, Design, Entertainment, Sports, and Media"
27-1025.00,Interior Designers,5.67,3.73,3.34,3.0,3.18,4.43,1.0,2.79,0.0,Interior Designers,"Arts, Design, Entertainment, Sports, and Media"
